sample_name	depth	filter size (um)	cell_state	binned_depth
SRR23969204	5.0	0.2	Free-living	5
SRR23969143	25.0	0.2	Free-living	45
SRR23969176	45.0	0.2	Free-living	45
SRR23969201	75.0	0.2	Free-living	75
SRR23969145	100.0	0.2	Free-living	150
SRR23969179	125.0	0.2	Free-living	150
SRR17827625	150.0	0.2	Free-living	150
SRR17827628	200.0	0.2	Free-living	300
SRR17827619	500.0	0.2	Free-living	1000
SRR17827629	770.0	0.2	Free-living	1000
SRR17827617	1000.0	0.2	Free-living	1000
SRR23969208	5.0	0.2	Free-living	5
SRR23969166	25.0	0.2	Free-living	45
SRR23969155	45.0	0.2	Free-living	45
SRR23969222	75.0	0.2	Free-living	75
SRR23969213	100.0	0.2	Free-living	150
SRR23969226	125.0	0.2	Free-living	150
SRR17827588	150.0	0.2	Free-living	150
SRR17827598	200.0	0.2	Free-living	300
SRR17827612	500.0	0.2	Free-living	1000
SRR17827583	770.0	0.2	Free-living	1000
SRR17827614	1000.0	0.2	Free-living	1000
SRR23969167	5.0	0.2	Free-living	5
SRR23969227	25.0	0.2	Free-living	45
SRR23969195	45.0	0.2	Free-living	45
SRR23969183	75.0	0.2	Free-living	75
SRR23969152	100.0	0.2	Free-living	150
SRR23969189	125.0	0.2	Free-living	150
SRR17827616	150.0	0.2	Free-living	150
SRR17827587	200.0	0.2	Free-living	300
SRR17827551	500.0	0.2	Free-living	1000
SRR17827601	770.0	0.2	Free-living	1000
SRR17827651	1000.0	0.2	Free-living	1000
SRR23969200	5.0	0.2	Free-living	5
SRR23969163	25.0	0.2	Free-living	45
SRR23969171	45.0	0.2	Free-living	45
SRR23969205	75.0	0.2	Free-living	75
SRR23969216	100.0	0.2	Free-living	150
SRR23969203	125.0	0.2	Free-living	150
SRR17827611	150.0	0.2	Free-living	150
SRR17827645	200.0	0.2	Free-living	300
SRR17827630	500.0	0.2	Free-living	1000
SRR17827620	770.0	0.2	Free-living	1000
SRR17827591	1000.0	0.2	Free-living	1000
SRR23969223	5.0	0.2	Free-living	5
SRR23969185	25.0	0.2	Free-living	45
SRR23969146	45.0	0.2	Free-living	45
SRR23969186	75.0	0.2	Free-living	75
SRR23969172	100.0	0.2	Free-living	150
SRR23969157	125.0	0.2	Free-living	150
SRR23969215	150.0	0.2	Free-living	150
SRR23969175	200.0	0.2	Free-living	300
SRR23969165	500.0	0.2	Free-living	1000
SRR23969187	770.0	0.2	Free-living	1000
SRR23969199	1000.0	0.2	Free-living	1000
SRR23969214	5.0	0.2	Free-living	5
SRR23969147	25.0	0.2	Free-living	45
SRR23969190	45.0	0.2	Free-living	45
SRR23969191	75.0	0.2	Free-living	75
SRR23969197	100.0	0.2	Free-living	150
SRR23969194	125.0	0.2	Free-living	150
SRR23969188	150.0	0.2	Free-living	150
SRR23969170	200.0	0.2	Free-living	300
SRR23969138	770.0	0.2	Free-living	1000
SRR23969154	1000.0	0.2	Free-living	1000
